CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,MeanBalance_Neighbors,Balance_to_Salary,IsHighCreditScore
619,France,0,42,2,0.0,1,1,1,101348.88,1,3699.0225,0.0,0
608,Spain,0,41,1,83807.86,1,0,1,112542.58,0,104578.24720000001,0.7446702868346644,0
502,France,0,42,8,159660.8,3,1,0,113931.57,1,127615.3905,1.401362226797833,0
699,France,0,39,1,0.0,2,0,0,93826.63,0,0.0,0.0,0
850,Spain,0,43,2,125510.82,1,1,1,79084.1,0,117565.94440000001,1.5870349787760274,1
645,Spain,1,44,8,113755.78,2,1,0,149756.71,1,118647.34320000002,0.7595988213227887,0
822,France,1,50,7,0.0,2,1,1,10062.8,0,2297.656,0.0,1
376,Germany,0,29,4,115046.74,4,1,0,119346.88,1,100428.4939,0.9639613204692031,0
501,France,1,44,4,142051.07,2,0,1,74940.5,0,130067.35169999998,1.8954927510124564,0
684,France,1,27,2,134603.88,1,1,1,71725.73,0,124566.92170000002,1.8766208915421072,0
528,France,1,31,6,102016.72,2,0,0,80181.12,0,113516.73920000001,1.2723125804106952,0
497,Spain,1,24,3,0.0,2,1,0,76390.01,0,1215.8128,0.0,0
476,France,0,34,10,0.0,2,1,0,26260.98,0,0.0,0.0,0
549,France,0,25,5,0.0,2,0,0,190857.79,0,0.0,0.0,0
635,Spain,0,35,7,0.0,2,1,1,65951.65,0,142.628,0.0,0
616,Germany,1,45,3,143129.41,2,0,1,64327.26,0,132743.1741,2.224984944408569,0
653,Germany,1,58,1,132602.88,1,1,0,5097.67,1,121965.528,26.00734701402523,0
549,Spain,0,24,9,0.0,2,1,1,14406.41,0,2424.6842,0.0,0
587,Spain,1,45,6,0.0,1,0,0,158684.81,0,16468.662,0.0,0
726,France,0,24,6,0.0,2,1,1,54724.03,0,0.0,0.0,1
732,France,1,41,8,0.0,2,1,1,170886.17,0,0.0,0.0,1
636,Spain,0,32,8,0.0,2,1,0,138555.46,0,612.747,0.0,0
510,Spain,0,38,4,0.0,1,1,0,118913.53,1,19415.4063,0.0,0
669,France,1,46,3,0.0,2,0,1,8487.75,0,0.0,0.0,0
846,France,0,38,5,0.0,1,1,1,187616.16,0,16031.56,0.0,1
577,France,1,25,3,0.0,2,0,1,124508.29,0,0.0,0.0,0
756,Germany,1,36,2,136815.64,1,1,1,170041.95,0,127167.32130000001,0.8045946038927224,1
571,France,1,44,9,0.0,2,0,0,38433.35,0,0.0,0.0,0
574,Germany,0,43,3,141349.43,1,1,1,100187.43,0,129934.00559999999,1.4108358619852612,0
411,France,1,29,0,59697.17,2,1,1,53483.21,0,35951.899900000004,1.116164378234249,0
591,Spain,0,39,3,0.0,3,1,0,140469.38,1,2943.1633,0.0,0
533,France,1,36,7,85311.7,1,0,1,156731.91,0,103275.6315,0.5443126143705237,0
553,Germany,1,41,9,110112.54,2,0,0,81898.81,0,117881.0815,1.3444785769344276,0
520,Spain,0,42,6,0.0,2,1,1,34410.55,0,1467.6352000000002,0.0,0
722,Spain,0,29,9,0.0,2,1,1,142033.07,0,612.747,0.0,1
475,France,0,45,0,134264.04,1,1,0,27822.99,1,120522.57310000002,4.825477582474692,0
490,Spain,1,31,3,145260.23,1,0,1,114066.77,0,127482.5472,1.2734555080720873,0
